    train_end test_start   test_end    sharpe     maxdd
0  2011-01-24 2011-01-25 2011-02-24 -0.388382 -0.019620
1  2011-02-24 2011-02-25 2011-03-28  0.000000  0.000000
2  2011-03-28 2011-03-29 2011-04-28  1.628478 -0.007614
3  2011-04-28 2011-04-29 2011-05-31  0.000000  0.000000
4  2011-05-31 2011-06-01 2011-06-30  0.000000  0.000000
5  2011-06-30 2011-07-01 2011-08-02  5.300291 -0.007575
6  2011-08-02 2011-08-03 2011-09-01  0.267333 -0.017013
7  2011-09-01 2011-09-02 2011-10-04 -0.735460 -0.021124
8  2011-10-04 2011-10-05 2011-11-03  0.000000  0.000000
9  2011-11-03 2011-11-04 2011-12-06 -0.909511 -0.023500
10 2011-12-06 2011-12-07 2012-01-09  0.000000  0.000000
11 2012-01-09 2012-01-10 2012-02-09  0.000000  0.000000
12 2012-02-09 2012-02-10 2012-03-13  0.000000  0.000000
13 2012-03-13 2012-03-14 2012-04-13  1.659028 -0.017887
14 2012-04-13 2012-04-16 2012-05-15  0.000000  0.000000
15 2012-05-15 2012-05-16 2012-06-15 -0.427259 -0.008761
16 2012-06-15 2012-06-18 2012-07-18 -2.058793 -0.015651
17 2012-07-18 2012-07-19 2012-08-17 -0.780078 -0.023480
18 2012-08-17 2012-08-20 2012-09-19  4.256468 -0.009102
19 2012-09-19 2012-09-20 2012-10-19  0.000000  0.000000
20 2012-10-19 2012-10-22 2012-11-23  0.000000  0.000000
21 2012-11-23 2012-11-26 2012-12-26 -4.903867 -0.035065
22 2012-12-26 2012-12-27 2013-01-29  3.145662 -0.014663
23 2013-01-29 2013-01-30 2013-03-01  2.950756 -0.019599
24 2013-03-01 2013-03-04 2013-04-03  1.600833 -0.012778
25 2013-04-03 2013-04-04 2013-05-03 -6.900634 -0.034482
26 2013-05-03 2013-05-06 2013-06-05 -2.430923 -0.008937
27 2013-06-05 2013-06-06 2013-07-08  3.418494 -0.013713
28 2013-07-08 2013-07-09 2013-08-07 -5.291673 -0.026806
29 2013-08-07 2013-08-08 2013-09-09 -4.433567 -0.007894
30 2013-09-09 2013-09-10 2013-10-09 -1.212380 -0.019551
31 2013-10-09 2013-10-10 2013-11-08 -3.849000 -0.018145
32 2013-11-08 2013-11-11 2013-12-11  0.000000  0.000000
33 2013-12-11 2013-12-12 2014-01-14  0.000000  0.000000
34 2014-01-14 2014-01-15 2014-02-14  0.000000  0.000000
35 2014-02-14 2014-02-18 2014-03-19  0.151218 -0.005085
36 2014-03-19 2014-03-20 2014-04-21  1.794752 -0.005975
37 2014-04-21 2014-04-22 2014-05-21  5.670879 -0.007027
38 2014-05-21 2014-05-22 2014-06-23  2.586993 -0.008510
39 2014-06-23 2014-06-24 2014-07-24  6.281374 -0.008085
40 2014-07-24 2014-07-25 2014-08-25  2.517315 -0.012981
41 2014-08-25 2014-08-26 2014-09-25 -0.074645 -0.022764
42 2014-09-25 2014-09-26 2014-10-27  3.712002 -0.020997
43 2014-10-27 2014-10-28 2014-11-26  0.000000  0.000000
44 2014-11-26 2014-11-28 2014-12-30  0.317618 -0.020775

Aggregated:
Median Sharpe: 0.00  |  Windows: 45
Sharpe>0 windows: 37.8%
